Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Gender_encoded,Item Purchased_encoded,Category_encoded,Location_encoded,Size_encoded,Color_encoded,Season_encoded,Subscription Status_encoded,Payment Method_encoded,Shipping Type_encoded,Discount Applied_encoded,Promo Code Used_encoded,Preferred Payment Method_encoded,Frequency of Purchases_encoded,Is_High_Value,Is_Frequent_Buyer,Has_Subscription,Used_Discount,Used_Promo,Customer_Engagement_Score,Age_Group,Age_Group_encoded,Spending_Per_Purchase,Cluster
1,0.7189134397952566,Male,Blouse,Clothing,-0.2856286395859995,Kentucky,L,Gray,Winter,-0.9075835732839902,Yes,Credit Card,Express,Yes,Yes,-0.7858306710129407,Venmo,Fortnightly,1,2,1,16,0,7,3,1,2,1,1,1,5,3,0,0,1,1,1,3,Young Adult,0,-1.333658002931213,1
2,-1.6486292371745561,Male,Sweater,Clothing,0.1788521851833184,Maine,L,Maroon,Winter,-0.9075835732839902,Yes,Bank Transfer,Express,Yes,Yes,-1.6165522585850671,Cash,Fortnightly,1,23,1,18,0,12,3,1,0,1,1,1,1,3,1,0,1,1,1,3,,1,-0.2900843889433936,1
3,0.3900880679938937,Male,Jeans,Clothing,0.5588819509036695,Massachusetts,S,Maroon,Spring,-0.9075835732839902,Yes,Cash,Free Shipping,Yes,Yes,-0.16278948033384558,Credit Card,Weekly,1,11,1,20,2,12,1,1,1,2,1,1,2,6,1,0,1,1,1,3,Young Adult,0,0.6675524707053716,1
4,-1.517099088454011,Male,Sandals,Footwear,1.2767159528198881,Rhode Island,M,Maroon,Spring,-0.3490265374929911,Yes,PayPal,Next Day Air,Yes,Yes,1.6371072927390955,PayPal,Weekly,1,14,2,38,1,12,1,1,4,3,1,1,4,6,1,1,1,1,1,3,,1,0.48413500517599195,0
5,0.061262696192530795,Male,Blouse,Clothing,-0.4545307576839332,Oregon,M,Turquoise,Spring,-1.4661406090749896,Yes,Cash,Free Shipping,Yes,Yes,0.39102491138090556,PayPal,Annually,1,2,1,36,1,21,1,1,1,2,1,1,4,0,0,1,1,1,1,3,Young Adult,0,-0.3267596101012375,0
6,0.1270277705528034,Male,Sneakers,Footwear,-1.6790711138939531,Wyoming,M,White,Summer,-1.18686209117949,Yes,Venmo,Standard,Yes,Yes,-0.7858306710129407,Venmo,Weekly,1,20,2,49,1,23,2,1,5,4,1,1,5,6,0,0,1,1,1,3,Young Adult,0,-3.089088900884732,0
7,1.2450340346774371,Male,Shirt,Clothing,1.065588305197471,Montana,M,Gray,Fall,-0.7679443143362402,Yes,Debit Card,Free Shipping,Yes,Yes,1.6371072927390955,Cash,Quarterly,1,16,1,25,1,7,0,1,3,2,1,1,1,5,1,1,1,1,1,3,Young Adult,0,0.404074687492397,0
8,-1.1225086422923753,Male,Shorts,Clothing,-1.087913700551185,Louisiana,L,Charcoal,Winter,-0.7679443143362402,Yes,Debit Card,Free Shipping,Yes,Yes,-0.43969667619122116,Credit Card,Weekly,1,18,1,17,0,4,3,1,3,2,1,1,2,6,0,0,1,1,1,3,,1,-1.9416513419122063,1
9,-1.188273716652648,Male,Coat,Outerwear,1.5722946594912726,West Virginia,L,Silver,Summer,-1.6057798680227393,Yes,Venmo,Express,Yes,Yes,-1.201191464799004,Venmo,Annually,1,4,3,47,0,19,2,1,5,1,1,1,5,0,1,0,1,1,1,3,,1,-3.089088900884732,0
10,0.8504435885158017,Male,Handbag,Accessories,-1.2145902891246352,Missouri,M,Pink,Spring,1.4662838288277562,Yes,PayPal,2-Day Shipping,Yes,Yes,-1.4780986606563795,Cash,Quarterly,1,7,0,24,1,16,1,1,4,0,1,1,1,5,0,0,1,1,1,3,Young Adult,0,2.5404595098784206,1
11,0.5873832910747114,Male,Shoes,Footwear,-1.087913700551185,Arkansas,L,Purple,Fall,0.4888090161935072,Yes,Credit Card,Store Pickup,Yes,Yes,0.04489091655918603,Bank Transfer,Bi-Weekly,1,17,2,3,0,17,0,1,2,5,1,1,0,1,0,1,1,1,1,3,Young Adult,0,-1.0411744262584581,1
12,-0.9252134192115578,Male,Shorts,Clothing,0.3477543032812523,Hawaii,S,Olive,Winter,1.6059230877755069,Yes,PayPal,Store Pickup,Yes,Yes,-1.0627378668703162,Bank Transfer,Fortnightly,1,18,1,10,2,13,3,1,4,5,1,1,0,3,1,0,1,1,1,3,,1,-3.089088900884732,1
13,1.113503885956892,Male,Coat,Outerwear,0.5166564213791861,Delaware,M,Gold,Winter,1.0473660519845072,Yes,PayPal,Express,Yes,Yes,0.806385705166969,Venmo,Fortnightly,1,4,3,7,1,6,3,1,4,1,1,1,5,3,1,1,1,1,1,3,Young Adult,0,0.28601666847857954,1
14,1.3765641833979823,Male,Dress,Clothing,-0.37007969863496637,New Hampshire,M,Violet,Spring,1.326644569880007,Yes,Debit Card,Express,Yes,Yes,0.39102491138090556,PayPal,Weekly,1,5,1,28,1,22,1,1,3,1,1,1,4,6,0,1,1,1,1,3,Young Adult,0,-0.2660482178335533,0
15,1.3107991090377098,Male,Coat,Outerwear,-0.2856286395859995,New York,L,Teal,Winter,1.326644569880007,Yes,PayPal,Free Shipping,Yes,Yes,0.5987053082739372,Debit Card,Weekly,1,4,3,31,0,20,3,1,4,2,1,1,3,6,0,1,1,1,1,3,Young Adult,0,-0.17866247025499785,0
16,1.3107991090377098,Male,Skirt,Clothing,0.8966861870995372,Rhode Island,M,Teal,Winter,-1.32650135012724,Yes,Credit Card,Store Pickup,Yes,Yes,-1.201191464799004,PayPal,Monthly,1,19,1,38,1,20,3,1,2,5,1,1,4,4,1,0,1,1,1,3,Young Adult,0,-3.089088900884732,0
17,-1.2540387910129207,Male,Sunglasses,Accessories,-1.003462641502218,Alabama,S,Gray,Spring,0.4888090161935072,Yes,Venmo,Next Day Air,Yes,Yes,1.2909732979173765,Debit Card,Bi-Weekly,1,22,0,0,2,7,1,1,5,3,1,1,3,1,0,1,1,1,1,3,,1,-0.438007131036587,1
18,0.5873832910747114,Male,Dress,Clothing,-0.9190115824532511,Mississippi,XL,Lavender,Winter,1.326644569880007,Yes,Debit Card,2-Day Shipping,Yes,Yes,0.737158906202625,Venmo,Quarterly,1,5,1,23,3,10,3,1,3,0,1,1,5,5,0,1,1,1,1,3,Young Adult,0,-0.5290313851956018,1
19,0.5216182167144389,Male,Sweater,Clothing,-0.4967562872084167,Montana,S,Black,Summer,1.1870053109322565,Yes,Bank Transfer,Free Shipping,Yes,Yes,-0.578150274119909,Cash,Weekly,1,23,1,25,2,1,2,1,0,2,1,1,1,6,0,0,1,1,1,3,Young Adult,0,-1.1775669313807202,0
20,1.442329257758255,Male,Pants,Clothing,1.2767159528198881,Rhode Island,M,Green,Summer,-0.628305055388491,Yes,Venmo,Standard,Yes,Yes,1.429426895846064,Debit Card,Bi-Weekly,1,13,1,38,1,8,2,1,5,4,1,1,3,1,1,1,1,1,1,3,Young Adult,0,0.5255214532295129,0
21,-1.517099088454011,Male,Pants,Clothing,-0.37007969863496637,Louisiana,M,Black,Winter,-1.32650135012724,Yes,Credit Card,Express,Yes,Yes,1.7063340917034395,Cash,Every 3 Months,1,13,1,17,1,1,3,1,2,1,1,1,1,2,0,1,1,1,1,3,,1,-0.1367457549936225,1
22,-0.8594483448512852,Male,Pants,Clothing,0.09440112613435153,North Carolina,M,Charcoal,Winter,0.4888090161935072,Yes,Credit Card,Store Pickup,Yes,Yes,-0.2320162792981895,Debit Card,Quarterly,1,13,1,32,1,4,3,1,2,5,1,1,3,5,1,0,1,1,1,3,,1,0.12292073853868213,0
23,0.7846785141555291,Male,Pants,Clothing,-0.9612371119777346,California,M,Peach,Summer,-0.7679443143362402,Yes,Cash,Store Pickup,Yes,Yes,0.4602517103452494,Debit Card,Annually,1,13,1,4,1,15,2,1,1,5,1,1,3,0,0,1,1,1,1,3,Young Adult,0,-0.6582680952658962,1
24,-0.8594483448512852,Male,Pants,Clothing,1.1922648937709215,Oklahoma,XL,White,Winter,0.9077267930367576,Yes,Credit Card,Express,Yes,Yes,1.0140661020600008,Credit Card,Weekly,1,13,1,35,3,23,3,1,2,1,1,1,2,6,1,1,1,1,1,3,,1,0.5919690980109662,0
25,-1.7143943115348286,Male,Jacket,Outerwear,-1.5946200548449863,Florida,M,Green,Fall,-1.18686209117949,Yes,Cash,Store Pickup,Yes,Yes,-0.647377073084253,Debit Card,Weekly,1,10,3,8,1,8,0,1,1,5,1,1,3,6,0,0,1,1,1,3,,1,-3.089088900884732,1
26,-1.7143943115348286,Male,Hoodie,Clothing,-1.4679434662715363,Texas,M,Silver,Summer,-0.20938727854524108,Yes,Bank Transfer,Express,Yes,Yes,-0.7858306710129407,PayPal,Annually,1,9,1,42,1,19,2,1,0,1,1,1,4,0,0,0,1,1,1,3,,1,-3.089088900884732,0
27,-0.39909282432937715,Male,Jewelry,Accessories,-1.6790711138939531,Nevada,M,Red,Spring,-0.20938727854524108,Yes,Cash,Next Day Air,Yes,Yes,-0.8550574699772846,Credit Card,Annually,1,12,0,27,1,18,1,1,1,3,1,1,2,0,0,0,1,1,1,3,,1,-3.089088900884732,0
28,0.7846785141555291,Male,Shorts,Clothing,-0.15895205101254908,Kentucky,L,Cyan,Summer,1.745562346723256,Yes,Debit Card,Next Day Air,Yes,Yes,-1.270418263763348,Bank Transfer,Every 3 Months,1,18,1,16,0,5,2,1,3,3,1,1,0,2,0,0,1,1,1,3,Young Adult,0,0.5878007232220573,1
29,0.653148365434984,Male,Handbag,Accessories,1.4456180709178221,North Carolina,M,Gray,Fall,0.9077267930367576,Yes,Debit Card,Free Shipping,Yes,Yes,1.0832929010243446,PayPal,Every 3 Months,1,7,0,32,1,7,0,1,3,2,1,1,4,2,1,1,1,1,1,3,Young Adult,0,0.6939101411073877,0
30,-0.8594483448512852,Male,Dress,Clothing,-0.4967562872084167,Wyoming,S,Black,Fall,0.4888090161935072,Yes,Venmo,Store Pickup,Yes,Yes,-0.7858306710129407,Credit Card,Weekly,1,5,1,49,2,1,0,1,5,5,1,1,2,6,0,0,1,1,1,3,,1,-2.3194557762210293,0
31,0.8504435885158017,Male,Jewelry,Accessories,-1.2145902891246352,North Carolina,L,Black,Winter,1.326644569880007,Yes,Bank Transfer,Standard,Yes,Yes,-0.647377073084253,Credit Card,Monthly,1,12,0,32,0,1,3,1,0,4,1,1,2,4,0,0,1,1,1,3,Young Adult,0,-3.089088900884732,0
32,-0.72791819613074,Male,Dress,Clothing,0.8122351280505702,West Virginia,L,Brown,Winter,1.326644569880007,Yes,Venmo,Store Pickup,Yes,Yes,1.3602000968817205,Venmo,Monthly,1,5,1,47,0,3,3,1,5,5,1,1,5,4,1,1,1,1,1,3,,1,0.3441382487542855,0
33,-0.5306229730499223,Male,Jacket,Outerwear,0.3055287737567688,Kansas,M,Silver,Summer,1.6059230877755069,Yes,Bank Transfer,Free Shipping,Yes,Yes,0.806385705166969,Venmo,Annually,1,10,3,15,1,19,2,1,0,2,1,1,5,0,1,1,1,1,1,3,,1,0.16913817070343123,1
34,0.653148365434984,Male,Pants,Clothing,-0.9190115824532511,Colorado,L,Green,Summer,-0.628305055388491,Yes,Venmo,Store Pickup,Yes,Yes,1.3602000968817205,Cash,Quarterly,1,13,1,5,0,8,2,1,5,5,1,1,1,5,0,1,1,1,1,3,Young Adult,0,-0.38937867330293,1
35,-0.5306229730499223,Male,T-shirt,Clothing,1.318941482344372,North Dakota,L,Violet,Spring,1.1870053109322565,Yes,Debit Card,2-Day Shipping,Yes,Yes,0.8756125041313129,PayPal,Quarterly,1,24,1,33,0,22,1,1,3,0,1,1,4,5,1,1,1,1,1,3,,1,0.7032057418252485,0
36,0.653148365434984,Male,Blouse,Clothing,-1.130139230075668,Massachusetts,M,Cyan,Summer,0.349169757245758,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1.567880493774752,Credit Card,Bi-Weekly,1,2,1,20,1,5,2,1,0,0,1,1,2,1,0,1,1,1,1,3,Young Adult,0,-0.4401058510376305,1
37,-0.5963880474101949,Male,T-shirt,Clothing,0.3899798328057357,Illinois,M,Maroon,Winter,1.1870053109322565,Yes,Cash,Free Shipping,Yes,Yes,1.2909732979173765,PayPal,Fortnightly,1,24,1,12,1,12,3,1,1,2,1,1,4,3,1,1,1,1,1,3,,1,0.17022452123743623,1
38,-0.5963880474101949,Male,Jeans,Clothing,-0.6234328757818671,Indiana,S,Cyan,Summer,-1.32650135012724,Yes,Debit Card,Store Pickup,Yes,Yes,-1.0627378668703162,PayPal,Weekly,1,11,1,13,2,5,2,1,3,5,1,1,4,6,0,0,1,1,1,3,,1,3.019915543557774,1
39,-0.9909784935718302,Male,Dress,Clothing,-0.9612371119777346,Florida,M,Red,Winter,-0.06974801959749115,Yes,Debit Card,2-Day Shipping,Yes,Yes,1.2909732979173765,Venmo,Every 3 Months,1,5,1,8,1,18,3,1,3,0,1,1,5,2,0,1,1,1,1,3,,1,-0.4195758688464651,1
40,1.7053895551993452,Male,Pants,Clothing,0.009950067085384621,Arizona,S,Turquoise,Summer,0.6284482751412579,Yes,Bank Transfer,Express,Yes,Yes,-0.5089234751555651,Credit Card,Monthly,1,13,1,2,2,21,2,1,0,1,1,1,2,4,1,0,1,1,1,3,Young Adult,0,0.020261744518406052,1
41,1.6396244808390725,Male,Handbag,Accessories,0.6855585394771199,Louisiana,L,Beige,Winter,1.1870053109322565,Yes,PayPal,Next Day Air,Yes,Yes,0.39102491138090556,Debit Card,Quarterly,1,7,0,17,0,0,3,1,4,3,1,1,3,5,1,1,1,1,1,3,Young Adult,0,0.4928441855124999,1
42,1.5080943321185274,Male,Scarf,Accessories,-0.8767860529287678,Alaska,M,Orange,Spring,1.0473660519845072,Yes,Cash,Standard,Yes,Yes,1.0140661020600008,Venmo,Annually,1,15,0,1,1,14,1,1,1,4,1,1,5,0,0,1,1,1,1,3,Young Adult,0,-0.4353313190823205,1
43,-1.5828641628142834,Male,Coat,Outerwear,1.6989712480647228,Tennessee,M,Beige,Spring,0.4888090161935072,Yes,Bank Transfer,Free Shipping,Yes,Yes,-0.7166038720485969,PayPal,Annually,1,4,3,41,1,0,1,1,0,2,1,1,4,0,1,0,1,1,1,3,,1,3.019915543557774,0
44,-1.2540387910129207,Male,Scarf,Accessories,0.3899798328057357,Ohio,L,Lavender,Fall,-0.06974801959749115,Yes,PayPal,Store Pickup,Yes,Yes,-0.43969667619122116,PayPal,Fortnightly,1,15,0,34,0,10,0,1,4,5,1,1,4,3,1,0,1,1,1,3,,1,0.6960155619901848,0
45,-0.33332774996910464,Male,Hat,Accessories,-0.2856286395859995,Kentucky,S,Silver,Summer,1.1870053109322565,Yes,Bank Transfer,Free Shipping,Yes,Yes,1.3602000968817205,PayPal,Weekly,1,8,0,16,2,19,2,1,0,2,1,1,4,6,0,1,1,1,1,3,,1,-0.12101882376980241,1
46,0.3900880679938937,Male,Socks,Clothing,-1.6368455843694698,Tennessee,XL,Indigo,Fall,-1.18686209117949,Yes,Venmo,2-Day Shipping,Yes,Yes,-0.02433588240515777,PayPal,Annually,1,21,1,41,3,9,0,1,5,0,1,1,4,0,0,0,1,1,1,3,Young Adult,0,-1.6776732431285253,0
47,0.8504435885158017,Male,Shirt,Clothing,-0.707883934830834,California,L,White,Summer,-1.18686209117949,Yes,Venmo,Store Pickup,Yes,Yes,1.3602000968817205,Cash,Quarterly,1,16,1,4,0,23,2,1,5,5,1,1,1,5,0,1,1,1,1,3,Young Adult,0,-0.29992539012522085,1
48,0.7189134397952566,Male,Jewelry,Accessories,-0.243403110061516,Montana,M,Charcoal,Winter,1.0473660519845072,Yes,Debit Card,Free Shipping,Yes,Yes,0.737158906202625,Cash,Weekly,1,12,0,25,1,4,3,1,3,2,1,1,1,6,0,1,1,1,1,3,Young Adult,0,-0.14011562741464315,0
49,-0.1360325268882868,Male,Shirt,Clothing,-0.20117758053703258,Nevada,M,Orange,Summer,-1.4661406090749896,Yes,Debit Card,Store Pickup,Yes,Yes,0.8756125041313129,Cash,Monthly,1,16,1,27,1,14,2,1,3,5,1,1,1,4,0,1,1,1,1,3,,1,-0.10725967122415174,0
50,1.5738594064788,Male,Hoodie,Clothing,-1.2568158186491187,New Jersey,S,Indigo,Spring,1.1870053109322565,Yes,Bank Transfer,Next Day Air,Yes,Yes,0.5987053082739372,Debit Card,Bi-Weekly,1,9,1,29,2,9,1,1,0,3,1,1,3,1,0,1,1,1,1,3,Young Adult,0,-0.7861460221246503,0
