Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Gender_encoded,Item Purchased_encoded,Category_encoded,Location_encoded,Size_encoded,Color_encoded,Season_encoded,Subscription Status_encoded,Payment Method_encoded,Shipping Type_encoded,Discount Applied_encoded,Promo Code Used_encoded,Preferred Payment Method_encoded,Frequency of Purchases_encoded,Is_High_Value,Is_Frequent_Buyer,Has_Subscription,Used_Discount,Used_Promo,Customer_Engagement_Score,Age_Group,Age_Group_encoded,Spending_Per_Purchase
1,0.7189134397952563,Male,Blouse,Clothing,-0.2856286395859996,Kentucky,L,Gray,Winter,-0.9075835732839896,Yes,Credit Card,Express,Yes,Yes,-0.7858306710129406,Venmo,Fortnightly,1,2,1,16,0,7,3,1,2,1,1,1,5,3,0,0,1,1,1,3,Young Adult,0,-1.3336580029312128
2,-1.6486292371745563,Male,Sweater,Clothing,0.17885218518331839,Maine,L,Maroon,Winter,-0.9075835732839896,Yes,Bank Transfer,Express,Yes,Yes,-1.6165522585850673,Cash,Fortnightly,1,23,1,18,0,12,3,1,0,1,1,1,1,3,1,0,1,1,1,3,,1,-0.2900843889433935
3,0.3900880679938935,Male,Jeans,Clothing,0.5588819509036694,Massachusetts,S,Maroon,Spring,-0.9075835732839896,Yes,Cash,Free Shipping,Yes,Yes,-0.16278948033384555,Credit Card,Weekly,1,11,1,20,2,12,1,1,1,2,1,1,2,6,1,0,1,1,1,3,Young Adult,0,0.6675524707053715
4,-1.5170990884540112,Male,Sandals,Footwear,1.2767159528198881,Rhode Island,M,Maroon,Spring,-0.3490265374929906,Yes,PayPal,Next Day Air,Yes,Yes,1.6371072927390957,PayPal,Weekly,1,14,2,38,1,12,1,1,4,3,1,1,4,6,1,1,1,1,1,3,,1,0.48413500517599195
5,0.061262696192530657,Male,Blouse,Clothing,-0.45453075768393336,Oregon,M,Turquoise,Spring,-1.4661406090749887,Yes,Cash,Free Shipping,Yes,Yes,0.39102491138090567,PayPal,Annually,1,2,1,36,1,21,1,1,1,2,1,1,4,0,0,1,1,1,1,3,Young Adult,0,-0.3267596101012376
6,0.12702777055280323,Male,Sneakers,Footwear,-1.6790711138939534,Wyoming,M,White,Summer,-1.1868620911794894,Yes,Venmo,Standard,Yes,Yes,-0.7858306710129406,Venmo,Weekly,1,20,2,49,1,23,2,1,5,4,1,1,5,6,0,0,1,1,1,3,Young Adult,0,-3.0890889008847315
7,1.245034034677437,Male,Shirt,Clothing,1.0655883051974708,Montana,M,Gray,Fall,-0.7679443143362397,Yes,Debit Card,Free Shipping,Yes,Yes,1.6371072927390957,Cash,Quarterly,1,16,1,25,1,7,0,1,3,2,1,1,1,5,1,1,1,1,1,3,Young Adult,0,0.4040746874923969
8,-1.1225086422923756,Male,Shorts,Clothing,-1.0879137005511852,Louisiana,L,Charcoal,Winter,-0.7679443143362397,Yes,Debit Card,Free Shipping,Yes,Yes,-0.4396966761912211,Credit Card,Weekly,1,18,1,17,0,4,3,1,3,2,1,1,2,6,0,0,1,1,1,3,,1,-1.9416513419122066
9,-1.1882737166526482,Male,Coat,Outerwear,1.5722946594912723,West Virginia,L,Silver,Summer,-1.6057798680227386,Yes,Venmo,Express,Yes,Yes,-1.201191464799004,Venmo,Annually,1,4,3,47,0,19,2,1,5,1,1,1,5,0,1,0,1,1,1,3,,1,-3.0890889008847315
10,0.8504435885158015,Male,Handbag,Accessories,-1.2145902891246354,Missouri,M,Pink,Spring,1.4662838288277564,Yes,PayPal,2-Day Shipping,Yes,Yes,-1.4780986606563795,Cash,Quarterly,1,7,0,24,1,16,1,1,4,0,1,1,1,5,0,0,1,1,1,3,Young Adult,0,2.540459509878421
11,0.5873832910747112,Male,Shoes,Footwear,-1.0879137005511852,Arkansas,L,Purple,Fall,0.48880901619350764,Yes,Credit Card,Store Pickup,Yes,Yes,0.04489091655918616,Bank Transfer,Bi-Weekly,1,17,2,3,0,17,0,1,2,5,1,1,0,1,0,1,1,1,1,3,Young Adult,0,-1.0411744262584581
12,-0.925213419211558,Male,Shorts,Clothing,0.3477543032812522,Hawaii,S,Olive,Winter,1.605923087775507,Yes,PayPal,Store Pickup,Yes,Yes,-1.0627378668703162,Bank Transfer,Fortnightly,1,18,1,10,2,13,3,1,4,5,1,1,0,3,1,0,1,1,1,3,,1,-3.0890889008847315
13,1.1135038859568918,Male,Coat,Outerwear,0.516656421379186,Delaware,M,Gold,Winter,1.0473660519845074,Yes,PayPal,Express,Yes,Yes,0.8063857051669691,Venmo,Fortnightly,1,4,3,7,1,6,3,1,4,1,1,1,5,3,1,1,1,1,1,3,Young Adult,0,0.2860166684785795
14,1.376564183397982,Male,Dress,Clothing,-0.3700796986349665,New Hampshire,M,Violet,Spring,1.3266445698800071,Yes,Debit Card,Express,Yes,Yes,0.39102491138090567,PayPal,Weekly,1,5,1,28,1,22,1,1,3,1,1,1,4,6,0,1,1,1,1,3,Young Adult,0,-0.26604821783355337
15,1.3107991090377096,Male,Coat,Outerwear,-0.2856286395859996,New York,L,Teal,Winter,1.3266445698800071,Yes,PayPal,Free Shipping,Yes,Yes,0.5987053082739373,Debit Card,Weekly,1,4,3,31,0,20,3,1,4,2,1,1,3,6,0,1,1,1,1,3,Young Adult,0,-0.17866247025499793
16,1.3107991090377096,Male,Skirt,Clothing,0.8966861870995371,Rhode Island,M,Teal,Winter,-1.3265013501272394,Yes,Credit Card,Store Pickup,Yes,Yes,-1.201191464799004,PayPal,Monthly,1,19,1,38,1,20,3,1,2,5,1,1,4,4,1,0,1,1,1,3,Young Adult,0,-3.0890889008847315
17,-1.254038791012921,Male,Sunglasses,Accessories,-1.0034626415022183,Alabama,S,Gray,Spring,0.48880901619350764,Yes,Venmo,Next Day Air,Yes,Yes,1.2909732979173763,Debit Card,Bi-Weekly,1,22,0,0,2,7,1,1,5,3,1,1,3,1,0,1,1,1,1,3,,1,-0.4380071310365871
18,0.5873832910747112,Male,Dress,Clothing,-0.9190115824532513,Mississippi,XL,Lavender,Winter,1.3266445698800071,Yes,Debit Card,2-Day Shipping,Yes,Yes,0.7371589062026251,Venmo,Quarterly,1,5,1,23,3,10,3,1,3,0,1,1,5,5,0,1,1,1,1,3,Young Adult,0,-0.5290313851956018
19,0.5216182167144386,Male,Sweater,Clothing,-0.49675628720841686,Montana,S,Black,Summer,1.1870053109322567,Yes,Bank Transfer,Free Shipping,Yes,Yes,-0.5781502741199089,Cash,Weekly,1,23,1,25,2,1,2,1,0,2,1,1,1,6,0,0,1,1,1,3,Young Adult,0,-1.1775669313807202
20,1.4423292577582547,Male,Pants,Clothing,1.2767159528198881,Rhode Island,M,Green,Summer,-0.6283050553884905,Yes,Venmo,Standard,Yes,Yes,1.429426895846064,Debit Card,Bi-Weekly,1,13,1,38,1,8,2,1,5,4,1,1,3,1,1,1,1,1,1,3,Young Adult,0,0.5255214532295129
21,-1.5170990884540112,Male,Pants,Clothing,-0.3700796986349665,Louisiana,M,Black,Winter,-1.3265013501272394,Yes,Credit Card,Express,Yes,Yes,1.7063340917034397,Cash,Every 3 Months,1,13,1,17,1,1,3,1,2,1,1,1,1,2,0,1,1,1,1,3,,1,-0.13674575499362251
22,-0.8594483448512854,Male,Pants,Clothing,0.09440112613435148,North Carolina,M,Charcoal,Winter,0.48880901619350764,Yes,Credit Card,Store Pickup,Yes,Yes,-0.23201627929818944,Debit Card,Quarterly,1,13,1,32,1,4,3,1,2,5,1,1,3,5,1,0,1,1,1,3,,1,0.12292073853868206
23,0.7846785141555289,Male,Pants,Clothing,-0.9612371119777348,California,M,Peach,Summer,-0.7679443143362397,Yes,Cash,Store Pickup,Yes,Yes,0.46025171034524953,Debit Card,Annually,1,13,1,4,1,15,2,1,1,5,1,1,3,0,0,1,1,1,1,3,Young Adult,0,-0.6582680952658964
24,-0.8594483448512854,Male,Pants,Clothing,1.1922648937709213,Oklahoma,XL,White,Winter,0.9077267930367581,Yes,Credit Card,Express,Yes,Yes,1.0140661020600008,Credit Card,Weekly,1,13,1,35,3,23,3,1,2,1,1,1,2,6,1,1,1,1,1,3,,1,0.5919690980109661
25,-1.7143943115348288,Male,Jacket,Outerwear,-1.5946200548449865,Florida,M,Green,Fall,-1.1868620911794894,Yes,Cash,Store Pickup,Yes,Yes,-0.6473770730842529,Debit Card,Weekly,1,10,3,8,1,8,0,1,1,5,1,1,3,6,0,0,1,1,1,3,,1,-3.0890889008847315
26,-1.7143943115348288,Male,Hoodie,Clothing,-1.4679434662715363,Texas,M,Silver,Summer,-0.20938727854524067,Yes,Bank Transfer,Express,Yes,Yes,-0.7858306710129406,PayPal,Annually,1,9,1,42,1,19,2,1,0,1,1,1,4,0,0,0,1,1,1,3,,1,-3.0890889008847315
27,-0.39909282432937737,Male,Jewelry,Accessories,-1.6790711138939534,Nevada,M,Red,Spring,-0.20938727854524067,Yes,Cash,Next Day Air,Yes,Yes,-0.8550574699772845,Credit Card,Annually,1,12,0,27,1,18,1,1,1,3,1,1,2,0,0,0,1,1,1,3,,1,-3.0890889008847315
28,0.7846785141555289,Male,Shorts,Clothing,-0.15895205101254922,Kentucky,L,Cyan,Summer,1.7455623467232562,Yes,Debit Card,Next Day Air,Yes,Yes,-1.2704182637633479,Bank Transfer,Every 3 Months,1,18,1,16,0,5,2,1,3,3,1,1,0,2,0,0,1,1,1,3,Young Adult,0,0.5878007232220583
29,0.6531483654349838,Male,Handbag,Accessories,1.445618070917822,North Carolina,M,Gray,Fall,0.9077267930367581,Yes,Debit Card,Free Shipping,Yes,Yes,1.0832929010243446,PayPal,Every 3 Months,1,7,0,32,1,7,0,1,3,2,1,1,4,2,1,1,1,1,1,3,Young Adult,0,0.6939101411073876
30,-0.8594483448512854,Male,Dress,Clothing,-0.49675628720841686,Wyoming,S,Black,Fall,0.48880901619350764,Yes,Venmo,Store Pickup,Yes,Yes,-0.7858306710129406,Credit Card,Weekly,1,5,1,49,2,1,0,1,5,5,1,1,2,6,0,0,1,1,1,3,,1,-2.319455776221029
31,0.8504435885158015,Male,Jewelry,Accessories,-1.2145902891246354,North Carolina,L,Black,Winter,1.3266445698800071,Yes,Bank Transfer,Standard,Yes,Yes,-0.6473770730842529,Credit Card,Monthly,1,12,0,32,0,1,3,1,0,4,1,1,2,4,0,0,1,1,1,3,Young Adult,0,-3.0890889008847315
32,-0.7279181961307403,Male,Dress,Clothing,0.8122351280505701,West Virginia,L,Brown,Winter,1.3266445698800071,Yes,Venmo,Store Pickup,Yes,Yes,1.3602000968817203,Venmo,Monthly,1,5,1,47,0,3,3,1,5,5,1,1,5,4,1,1,1,1,1,3,,1,0.34413824875428545
33,-0.5306229730499226,Male,Jacket,Outerwear,0.30552877375676873,Kansas,M,Silver,Summer,1.605923087775507,Yes,Bank Transfer,Free Shipping,Yes,Yes,0.8063857051669691,Venmo,Annually,1,10,3,15,1,19,2,1,0,2,1,1,5,0,1,1,1,1,1,3,,1,0.1691381707034312
34,0.6531483654349838,Male,Pants,Clothing,-0.9190115824532513,Colorado,L,Green,Summer,-0.6283050553884905,Yes,Venmo,Store Pickup,Yes,Yes,1.3602000968817203,Cash,Quarterly,1,13,1,5,0,8,2,1,5,5,1,1,1,5,0,1,1,1,1,3,Young Adult,0,-0.3893786733029301
35,-0.5306229730499226,Male,T-shirt,Clothing,1.3189414823443715,North Dakota,L,Violet,Spring,1.1870053109322567,Yes,Debit Card,2-Day Shipping,Yes,Yes,0.875612504131313,PayPal,Quarterly,1,24,1,33,0,22,1,1,3,0,1,1,4,5,1,1,1,1,1,3,,1,0.7032057418252483
36,0.6531483654349838,Male,Blouse,Clothing,-1.1301392300756685,Massachusetts,M,Cyan,Summer,0.3491697572457584,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1.567880493774752,Credit Card,Bi-Weekly,1,2,1,20,1,5,2,1,0,0,1,1,2,1,0,1,1,1,1,3,Young Adult,0,-0.44010585103763067
37,-0.5963880474101951,Male,T-shirt,Clothing,0.3899798328057356,Illinois,M,Maroon,Winter,1.1870053109322567,Yes,Cash,Free Shipping,Yes,Yes,1.2909732979173763,PayPal,Fortnightly,1,24,1,12,1,12,3,1,1,2,1,1,4,3,1,1,1,1,1,3,,1,0.17022452123743617
38,-0.5963880474101951,Male,Jeans,Clothing,-0.6234328757818672,Indiana,S,Cyan,Summer,-1.3265013501272394,Yes,Debit Card,Store Pickup,Yes,Yes,-1.0627378668703162,PayPal,Weekly,1,11,1,13,2,5,2,1,3,5,1,1,4,6,0,0,1,1,1,3,,1,3.019915543557773
39,-0.9909784935718305,Male,Dress,Clothing,-0.9612371119777348,Florida,M,Red,Winter,-0.06974801959749076,Yes,Debit Card,2-Day Shipping,Yes,Yes,1.2909732979173763,Venmo,Every 3 Months,1,5,1,8,1,18,3,1,3,0,1,1,5,2,0,1,1,1,1,3,,1,-0.41957586884646514
40,1.705389555199345,Male,Pants,Clothing,0.009950067085384573,Arizona,S,Turquoise,Summer,0.6284482751412582,Yes,Bank Transfer,Express,Yes,Yes,-0.508923475155565,Credit Card,Monthly,1,13,1,2,2,21,2,1,0,1,1,1,2,4,1,0,1,1,1,3,Young Adult,0,0.02026174451840595
41,1.6396244808390725,Male,Handbag,Accessories,0.6855585394771198,Louisiana,L,Beige,Winter,1.1870053109322567,Yes,PayPal,Next Day Air,Yes,Yes,0.39102491138090567,Debit Card,Quarterly,1,7,0,17,0,0,3,1,4,3,1,1,3,5,1,1,1,1,1,3,Young Adult,0,0.49284418551249987
